,TP,FN,FP,TN,precision,recall,TPR,FPR,F1
5_o_Clock_Shadow,1154,1018,479,17189,0.706674831165539,0.06291228261119161,0.06291228261119161,0.31997327967937655,0.11553849623358556
Arched_Eyebrows,2935,2426,1499,12980,0.661930536612104,0.18441721645086917,0.18441721645086917,0.3819108279281756,0.28846592283394445
Attractive,8660,1471,2326,7383,0.7882759875488552,0.5397992893760644,0.5397992893760644,0.6125888858012671,0.6407927395500687
Bags_Under_Eyes,1245,2793,765,15037,0.6194029847664662,0.07646480775847778,0.07646480775847778,0.21500843164277447,0.13612488636928616
Bald,7,432,5,19396,0.5833332847222263,0.0003607689532360579,0.0003607689532360579,0.011441647571071745,0.0007210907037564153
Bangs,2318,694,294,16534,0.8874425724014385,0.12295777635672832,0.12295777635672832,0.2975708499012441,0.2159893501347502
Big_Lips,189,4641,67,14943,0.7382812471160889,0.012490087231529865,0.012490087231529865,0.014231096003774193,0.024564563066632805
Big_Nose,1945,2660,835,14400,0.699640287518115,0.11899663504931192,0.11899663504931192,0.2389127324066058,0.20339844432929144
Black_Hair,3539,1218,812,14271,0.8133762351612557,0.19870859066823646,0.19870859066823646,0.39999999980295564,0.3193896036227237
Blond_Hair,2409,559,364,16508,0.8687342225500417,0.12734577363602337,0.12734577363602337,0.39436619675583295,0.22212979080680917
Blurry,23,989,1,18827,0.9583332934027794,0.001220159151128904,0.001220159151128904,0.001010101009080706,0.002437212676497292
Brown_Hair,1921,2169,678,15072,0.7391304344982184,0.11304654857217404,0.11304654857217404,0.23814541614396018,0.19610021902613028
Bushy_Eyebrows,872,1950,387,16631,0.6926131845173842,0.049820030849007595,0.049820030849007595,0.16559691905622725,0.09295371766253184
Chubby,197,936,102,18605,0.6588628740506258,0.010477608764467737,0.010477608764467737,0.09826589585908872,0.020627161474294244
Double_Chin,187,734,76,18843,0.7110266132660585,0.00982658959485935,0.00982658959485935,0.09382716037799116,0.019385242374556574
Eyeglasses,1068,233,21,18518,0.9807162525429601,0.05452874501917039,0.05452874501917039,0.08267716502883006,0.10331308036351416
Goatee,752,503,284,18301,0.7258687251680803,0.03946885004778938,0.03946885004778938,0.3608640402022058,0.07486674472133663
Gray_Hair,368,433,149,18890,0.711798838081627,0.019108941737506026,0.019108941737506026,0.2560137452645812,0.037218659568139564
Heavy_Makeup,7141,484,1261,10954,0.849916686402057,0.39463940312823215,0.39463940312823215,0.7226361027377443,0.5390039824641883
High_Cheekbones,7487,1569,947,9837,0.8877163859511837,0.43217501729207025,0.43217501729207025,0.37639109682973326,0.5813335140140224
Male,8041,179,233,11387,0.9718394971027509,0.4138871731308479,0.4138871731308479,0.565533979209869,0.5805352824122452
Mouth_Slightly_Open,8635,1036,383,9786,0.9575293855669185,0.46875848214164495,0.46875848214164495,0.26990838599724565,0.6293956736905347
Mustache,83,712,81,18964,0.506097557889649,0.004357641623123975,0.004357641623123975,0.10214375775265605,0.008640865898881673
Narrow_Eyes,0,2288,0,17552,0.0,0.0,0.0,0.0,0.0
No_Beard,16205,368,559,2708,0.9666547362821132,0.8568180616054133,0.8568180616054133,0.6030204955738722,0.9084279010122845
Oval_Face,1097,4552,642,13549,0.6308223113106254,0.07490099685409661,0.07490099685409661,0.12360415862079241,0.13390277026972616
Pale_Skin,0,857,0,18983,0.0,0.0,0.0,0.0,0.0
Pointy_Nose,894,4604,767,13575,0.5382299816145515,0.06178726933016882,0.06178726933016882,0.14280394709685273,0.11084916428201767
Receding_Hairline,141,1459,94,18146,0.5999999974468085,0.007710395362404418,0.007710395362404418,0.06052801026366515,0.01522511261923606
Rosy_Cheeks,231,1085,85,18439,0.7310126559145169,0.012372790572449234,0.012372790572449234,0.07264957258747899,0.024333686846680466
Sideburns,664,457,240,18479,0.7345132735237685,0.03468630830932005,0.03468630830932005,0.3443328545992355,0.06624423970667724
Smiling,8450,1203,492,9695,0.9449787518513779,0.4656930283568094,0.4656930283568094,0.29026548655441564,0.6239150891074264
Straight_Hair,1038,2997,480,15325,0.6837944659527045,0.06343580027724526,0.06343580027724526,0.13805004310093472,0.11610073382425266
Wavy_Hair,4379,2013,1077,12371,0.802602639149083,0.2614328358052876,0.2614328358052876,0.34854368920759105,0.3943975397771036
Wearing_Earrings,1240,2536,443,15621,0.7367795598711945,0.07354249450960545,0.07354249450960545,0.14870761995679502,0.13373581423774608
Wearing_Hat,593,366,59,18822,0.909509201059035,0.03054339428119787,0.03054339428119787,0.1388235290851211,0.05910194539550516
Wearing_Lipstick,8932,472,893,9543,0.9091094146657395,0.48346414070454863,0.48346414070454863,0.6542124537331776,0.6312362957844182
Wearing_Necklace,0,2417,0,17423,0.0,0.0,0.0,0.0,0.0
Wearing_Necktie,505,914,149,18272,0.77217125264194,0.026894605100554157,0.026894605100554157,0.1401693319471596,0.05197873171332961
Young,14900,470,2004,2466,0.881448177893904,0.8579983876046298,0.8579983876046298,0.8100242518957057,0.8695647174317148
