,TP,FN,FP,TN,precision,recall,TPR,FPR,F1
5_o_Clock_Shadow,1164,1008,463,17205,0.715427166124507,0.06336763024316143,0.06336763024316143,0.3147518692625752,0.11642313515387294
Arched_Eyebrows,2895,2466,1454,13025,0.6656702688742997,0.18184673365691917,0.18184673365691917,0.37091836725231675,0.28565756414797944
Attractive,8688,1443,2342,7367,0.7876699908624052,0.5411398317943855,0.5411398317943855,0.6187582561112924,0.6415354226458728
Bags_Under_Eyes,1278,2760,759,15043,0.627393225023371,0.07830402548383653,0.07830402548383653,0.21568627444851202,0.1392306557237658
Bald,24,415,10,19391,0.7058823321799315,0.001236157610031617,0.001236157610031617,0.02352941170934256,0.0024679897225581278
Bangs,2311,701,280,16548,0.8919336160200951,0.1225409618684691,0.1225409618684691,0.2854230374256646,0.21547764305456787
Big_Lips,281,4549,95,14915,0.7473404235443074,0.01849170834308425,0.01849170834308425,0.020456503010237617,0.036090371569900755
Big_Nose,2038,2567,903,14332,0.6929615774590406,0.12449602931432523,0.12449602931432523,0.2602305474754379,0.21107115185089667
Black_Hair,3577,1180,834,14249,0.8109272272022382,0.2006619544373016,0.2006619544373016,0.4141012907576458,0.321715740761916
Blond_Hair,2436,532,387,16485,0.8629117956560709,0.12874583795102024,0.12874583795102024,0.4211099016092384,0.2240615841874035
Blurry,68,944,10,18818,0.8717948606180146,0.003600550672265141,0.003600550672265141,0.010482180282513439,0.007171474616508612
Brown_Hair,2097,1993,789,14961,0.7266112263594556,0.12293352092138976,0.12293352092138976,0.2836089143480917,0.21028856111228938
Bushy_Eyebrows,899,1923,378,16640,0.7039937347658624,0.05125719824099109,0.05125719824099109,0.16427640149314368,0.09555684625565085
Chubby,198,935,97,18610,0.6711864384027578,0.010527435133425807,0.010527435133425807,0.09399224797093773,0.020729697904545107
Double_Chin,219,702,87,18832,0.7156862721709599,0.011495459555325417,0.011495459555325417,0.11026615955606317,0.022627442146521213
Eyeglasses,1173,128,31,18508,0.9742524908851723,0.05960063004625778,0.05960063004625778,0.1949685522329022,0.11232931436899209
Goatee,794,461,311,18274,0.7185520355488216,0.04164044472196138,0.04164044472196138,0.4028497404108164,0.07871897639918105
Gray_Hair,390,411,150,18889,0.7222222208847736,0.020229265002322253,0.020229265002322253,0.2673796786677724,0.03935612035667838
Heavy_Makeup,7050,575,1135,11080,0.8613317042319693,0.3888582459796548,0.3888582459796548,0.6637426896703259,0.5358156458541228
High_Cheekbones,7542,1514,986,9798,0.8843808629356964,0.4349480968607296,0.4349480968607296,0.39439999984224,0.5831138304375114
Male,8076,144,255,11365,0.9693914294839285,0.4154107298793575,0.4154107298793575,0.6390977427591535,0.5815925513137428
Mouth_Slightly_Open,8673,998,427,9742,0.9530769229721893,0.4709747488204738,0.4709747488204738,0.2996491225967374,0.6304193282940191
Mustache,96,699,91,18954,0.5133689812119306,0.005039370078475623,0.005039370078475623,0.11518987327191155,0.009980746978029266
Narrow_Eyes,0,2288,0,17552,0.0,0.0,0.0,0.0,0.0
No_Beard,16261,312,608,2659,0.9639575552217703,0.859460887903834,0.859460887903834,0.6608695644990549,0.9087144698779462
Oval_Face,1152,4497,717,13474,0.6163723913235032,0.07876384520178013,0.07876384520178013,0.1375143843234533,0.139678489558485
Pale_Skin,0,857,0,18983,0.0,0.0,0.0,0.0,0.0
Pointy_Nose,908,4590,717,13625,0.5587692304253727,0.062478497208939755,0.062478497208939755,0.13510457883265412,0.11238996637148162
Receding_Hairline,179,1421,103,18137,0.6347517707987526,0.009772876173303512,0.009772876173303512,0.06758530179292302,0.019249351785904315
Rosy_Cheeks,275,1041,108,18416,0.7180156639216301,0.014712963457561769,0.014712963457561769,0.09399477798607939,0.028835024081178284
Sideburns,704,417,247,18472,0.7402733956464003,0.03671255736145637,0.03671255736145637,0.3719879512470061,0.06995569075032781
Smiling,8507,1146,547,9640,0.939584713834815,0.4687827188808738,0.4687827188808738,0.32309509726928815,0.6254912656925611
Straight_Hair,1328,2707,720,15085,0.6484374996833802,0.08091147260824276,0.08091147260824276,0.2100962940735056,0.14387066562555856
Wavy_Hair,4269,2123,931,12517,0.8209615383036611,0.25431907540484217,0.25431907540484217,0.3048461033710393,0.3883376721085154
Wearing_Earrings,1343,2433,478,15586,0.7375068639552406,0.07933132494067391,0.07933132494067391,0.16420474058254733,0.14325315794285642
Wearing_Hat,763,196,74,18807,0.9115890072740872,0.03898824731533019,0.03898824731533019,0.2740740730589849,0.0747781836875487
Wearing_Lipstick,8888,516,846,9590,0.9130881445538228,0.4810044376836776,0.4810044376836776,0.6211453739932853,0.6300860360060409
Wearing_Necklace,0,2417,0,17423,0.0,0.0,0.0,0.0,0.0
Wearing_Necktie,556,863,194,18227,0.7413333323448889,0.029601235157876736,0.029601235157876736,0.1835383158150063,0.05692922528453643
Young,14898,472,1972,2498,0.8831061054603968,0.856403770932605,0.856403770932605,0.8068739767565982,0.8695494913123193
